="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p"
="democracy_vdem2019",="-1.7",="-1.8",="-1.5",="-1.7",="-1.7",="-1.5",="-1.8",="-1.9",="-2.2",="-2.0",="-2.0",="-1.9"
="",="(0.5)",="(0.3)",="(0.7)",="(0.3)",="(0.7)",="(0.4)",="(0.7)",="(0.5)",="(0.6)",="(0.3)",="(0.4)",="(0.3)"
="",="0.00",="0.00",="0.04",="0.00",="0.01",="0.00",="0.01",="0.00",="0.00",="0.00",="0.00",="0.00"
