="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p"
="democracy_vdem2000",="-2.2",="-3.3",="-2.3",="-3.4",="-1.8",="-1.5",="-1.2",="-1.3",="-2.4",="-1.8",="-2.2",="-2.7"
="",="(0.3)",="(0.7)",="(0.4)",="(0.8)",="(0.5)",="(1.6)",="(0.9)",="(0.6)",="(0.5)",="(0.6)",="(0.2)",="(0.3)"
="",="0.00",="0.00",="0.00",="0.00",="0.00",="0.35",="0.18",="0.02",="0.00",="0.00",="0.00",="0.00"
