="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="democracy_vdem2000",="-2.0",="-2.2",="-2.0",="-2.1",="-2.0",="-2.1",="-1.7",="-1.2",="-1.7",="-1.2",="-2.0",="-2.2"
="",="(0.3)",="(0.4)",="(0.3)",="(0.5)",="(0.3)",="(0.5)",="(0.4)",="(0.6)",="(0.4)",="(0.6)",="(0.3)",="(0.4)"
="N",="77",="77",="89",="89",="93",="93",="136",="136",="142",="142",="73",="73"
