="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p"
="democracy_vdem2000",="10902.4",="-1100.4",="6602.8",="3967.6",="17475.9",="12115.9",="4795.7",="1081.8",="10098.3",="-1594.6",="5166.5",="2652.4"
="",="(3293.5)",="(6821.8)",="(1996.9)",="(1238.6)",="(15703.5)",="(20793.5)",="(1641.4)",="(2293.2)",="(1712.3)",="(2364.1)",="(1223.0)",="(872.8)"
="",="0.00",="0.87",="0.00",="0.00",="0.27",="0.56",="0.00",="0.64",="0.00",="0.50",="0.00",="0.00"
="F-Statistic (First stage)",="9.8",="0.4",="50.8",="21.8",="0.9",="0.3",="45.6",="18.8",="4.3",="1.1",="15.5",="9.2"
