Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1336717428088","28.4615384615385","30.2334062727936","31.7007715531701","30.8690012970169","25.4995526394274","24.0058910162003","26.623006833713","28.8876742279311","28.4440039643211","33.1676136363636","34.517077584257","31.754642186522","32.1084692473963","29.6434040691315","28.2786885245902","27.424819991529","23.520615253151","23.8173254147041","23.1184947958367","21.5309200603318","20.5766710353866","20.5600722673893","21.5806001395673","21.4514767932489","22.4658760349071","",
"Africa Eastern and Southern","AFE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4271715428281","17.6085797382417","16.7699452440826","18.9741741292958","19.1716268625901","18.161257381798","17.3606125923313","18.5727759547537","18.0633291472832","17.9426263569942","17.592873612585","18.0050496438455","18.6612415220542","20.0518407836632","19.9270088607689","20.9787852813721","22.0306849997321","24.2552405707099","23.7276128234356","21.9079782542195","22.2500894974784","22.9401877523652","23.8963457368628","24.9934770361713","25.5348493020935","23.9346661750186","24.537768602349","22.0616544657902","22.4686507992574","21.0040878523551","19.7669749709829",
"Afghanistan","AFG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","16.115709744894","16.5991981789571","19.1057020506971","14.2011896117076","13.8888936728392","11.2582791310323","8.41269813681027","5.1792826071544","6.4724917522858","6.46687681860701","5.46379407704636","5.46117106687832","6.54596174882259","7.30769221351084","8.76288652354129","9.76525842685535","13.6521735928166","12.4153493064084","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","79.0764818602587","75.1390534321664","62.5505623682849","46.5933005453166","38.2603271969646","39.0637323469198","34.5426185187774","30.8205944803655","32.8691384282459","33.6849205390861","30.7723676100202","27.6202582029262","24.3629516898348","29.7746470134808","27.2893483817128","26.6510707074831","28.6014148003121","30.2525715321202","27.8401268828485","27.0201452448209","25.9894921868412","24.0946645924624","25.4077478216411","24.3278613294359","24.1781110472763","24.9212671537244","21.458808861623","20.969878616482","22.3354500711361","20.1785118738191","18.7957332492663","18.7719921066066","19.0058818952912","19.8697467405427","19.6078361235933","19.7029514264486","18.5223752056096","21.1213273621478","24.0595682785686","25.1385447022998","28.6996157796546",
"Angola","AGO","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","30.4932189762628","30.4932189408191","30.4931731253335","30.4511114121029","30.8936755014177","27.5565797901657","23.3007709224417","25.730579355956","30.804053314644","42.8208531628244","28.1973176920118","26.4243531675539","26.6675773725046","26.1429704757952","27.5004591988793","34.2024908297612","27.2147092687935","24.1303058646463","17.8694205677582","17.7122552404386","16.030133995921","19.5011087875041",
"Albania","ALB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.805834723522","36.3861156517659","39.2829001338862","37.373346292896","32.9255350791543","33.9319591391124","32.0348354243886","29.4538695223043","29.957542067619","32.8770715994479","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","21.2785134595821","18.063790715967","16.6595085173425","19.7426022741446","19.7346920833014","30.7962585719445","34.9886697820033","35.2640615632586","33.8968627994889","34.1967461797911","36.8696756752052","35.6975187198863","34.4619700309054","35.7784238754261","34.5578458934766","30.3086698207955","31.4135814808892","28.3285499594466","28.0524964575465","25.6746926299268","25.8190485021686","25.2238259425092","25.0525458760709","23.9101849968016","23.0125955147467","23.2001266540471","24.1156796982168",
"Andorra","AND","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","34.1933677464891","35.4362738853087","39.5373696184166","30.983655293697","28.5397138255318","28.803102587097","31.9830446984599","30.1381827638393","29.1672668293605","25.5890186749706","24.6394542241104","21.4964471073873","22.8715972489572","17.9642085173237","30.43435057834","22.002824707151","22.3906202745261","22.9140032821103","21.1455676679061","21.1230787510938","19.533960555118","17.579327273803","20.6871077219875","20.4048138658785","18.4445039338334","19.5907002835561","19.0988505250114","19.9235278678478","19.8700949964841","19.9323681279066","21.0240860554522","23.74202500463","24.7185241476253","25.9620597130656","24.1274765404562","23.9617058900697","23.5033766035419","24.3963327336988","25.7722716669596","28.7279872914378","28.8469012574378","28.3932299783674","26.657893939456","27.1002798521844","24.8506704354955","",
"United Arab Emirates","ARE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5025971503274","22.5456815521944","22.1297618369823","19.9785190602061","20.1668488058722","19.2703996822451","25.1991828204692","25.0980915438506","31.6335487625593","27.121103618148","23.1614737746888","21.884803960392","19.2579783420002","22.1684297429244","25.6391875739952","26.0197205557625","25.2956206313267","23.5115029862206","22.4643688670141","22.1898623846619","",
"Argentina","ARG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.4792342591885","27.7664470640285","21.7309350214049","18.2728788272969","21.4739126232485","22.4276757466398","20.5425466290521","21.2150357873283","21.6904972921597","23.9906052021268","24.4400952475051","24.1130324178054","23.8915446190398","20.8938115320599","22.260331785641","29.4410469590401","30.7294395896829","30.9416888038212","27.800159571311","25.8567694620944","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.6881104233422","19.9656232520199","18.5004105114971","19.6238724452255","20.8260515469902","20.9707691548621","17.8629278753399","17.5334874363903","15.6259653308051","10.8539052402585","14.1469621012504","17.5512703642799","18.8882641376513","18.6804872364334","20.099113202908","19.5727758777106","16.0531123592112","17.7055338062046","18.39845891735","16.5019865298875","17.3057789012596","17.2628810064651","17.0707048841583","17.6632278606203","18.2125671747754","16.6138850156371","15.0265881068441","14.0197297332795","17.1050789782992",
